Datetime,TotalD,GEFS,NDFD,GAVG,REAL
2017-09-06 00:00:00,6375.0,0.0,0.0,0.0,0.0
2017-09-06 01:00:00,12750.0,0.0,0.0,0.0,0.0
2017-09-06 02:00:00,19125.0,0.0,0.0,0.0,0.0
2017-09-06 03:00:00,25500.0,0.0,0.0,0.0,0.0
2017-09-06 04:00:00,31875.0,0.0,0.0,0.0,0.0
2017-09-06 05:00:00,38250.0,0.0,0.0,0.0,0.0
2017-09-06 06:00:00,44625.0,0.0,0.0,0.0,0.0
2017-09-06 07:00:00,51000.0,0.0,0.0,0.0,0.0
2017-09-06 08:00:00,57375.0,0.0,0.0,0.0,0.0
2017-09-06 09:00:00,63750.0,0.0,0.0,0.0,0.0
2017-09-06 10:00:00,70125.0,0.0,0.0,0.0,0.0
2017-09-06 11:00:00,76500.0,0.0,0.0,0.0,0.0
2017-09-06 12:00:00,82875.0,0.0,0.0,0.0,0.0
2017-09-06 13:00:00,89250.0,0.0,0.0,0.0,0.0
2017-09-06 14:00:00,95625.0,0.0,0.0,0.0,0.0
2017-09-06 15:00:00,102000.0,0.0,0.0,0.0,0.0
2017-09-06 16:00:00,108375.0,0.0,0.0,0.0,0.0
2017-09-06 17:00:00,114750.0,0.0,0.0,0.0,0.0
2017-09-06 18:00:00,121125.0,0.0,0.0,0.0,0.0
2017-09-06 19:00:00,127500.0,0.0,0.0,0.0,0.0
2017-09-06 20:00:00,133875.0,0.0,0.0,0.0,0.0
2017-09-06 21:00:00,140250.0,0.0,0.0,0.0,0.0
2017-09-06 22:00:00,146625.0,0.0,0.0,0.0,0.0
2017-09-06 23:00:00,153000.0,0.0,0.0,0.0,0.0
2017-09-07 00:00:00,159375.0,0.0,0.0,0.0,5737.5
2017-09-07 01:00:00,165750.0,0.0,0.0,0.0,11475.0
2017-09-07 02:00:00,172125.0,0.0,0.0,0.0,17212.5
2017-09-07 03:00:00,178500.0,0.0,0.0,0.0,22950.0
2017-09-07 04:00:00,184875.0,0.0,0.0,0.0,27404.5498099
2017-09-07 05:00:00,191250.0,0.0,0.0,0.0,27404.5498099
2017-09-07 06:00:00,197625.0,0.0,0.0,0.0,27404.5498099
2017-09-07 07:00:00,204000.0,0.0,0.0,0.0,27404.5498099
2017-09-07 08:00:00,210375.0,0.0,0.0,0.0,27404.5498099
2017-09-07 09:00:00,216750.0,0.0,0.0,0.0,27404.5498099
2017-09-07 10:00:00,223125.0,0.0,0.0,0.0,27404.5498099
2017-09-07 11:00:00,229500.0,0.0,0.0,0.0,27404.5498099
2017-09-07 12:00:00,235875.0,0.0,0.0,0.0,27404.5498099
2017-09-07 13:00:00,242250.0,0.0,0.0,0.0,27404.5498099
2017-09-07 14:00:00,248625.0,0.0,0.0,0.0,27404.5498099
2017-09-07 15:00:00,255000.0,0.0,0.0,0.0,27404.5498099
2017-09-07 16:00:00,261375.0,0.0,0.0,0.0,27404.5498099
2017-09-07 17:00:00,267750.0,0.0,0.0,0.0,27404.5498099
